,Company,TypeName,Inches,Ram(GB),OpSys,Weight(Kg),Price_euros,MemorySSD(GB),MemoryHDD(GB),MemoryFlash(GB),MemoryHybrid(GB),CPU_Company,CPU_Version,CPU_Speed(GHz),GPU_Company,GPU_Version,ScreenResolution_Type,ScreenResolution_Width,ScreenResolution_High
22,HP,Notebook,15.6,4,No OS,1.86,258.0,0.0,500.0,0.0,0.0,AMD,E-Series E2-9000e,1.5,AMD,Radeon R2,Unknown,1366,768
23,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,819.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,Full HD / Touchscreen,1920,1080
24,HP,Ultrabook,15.6,8,Windows 10,1.91,659.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,HD Graphics 620,Full HD,1920,1080
25,Dell,Notebook,15.6,4,Windows 10,2.3,418.64,0.0,1024.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Unknown,1366,768
26,Apple,Ultrabook,13.3,8,Mac OS X,1.35,1099.0,0.0,0.0,128.0,0.0,Intel,Core i5,1.6,Intel,HD Graphics 6000,Unknown,1440,900
27,Dell,Notebook,15.6,8,Windows 10,2.2,800.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,AMD,Radeon 530,Full HD,1920,1080
28,Dell,Ultrabook,15.6,8,Windows 10,1.88,1298.0,512.0,0.0,0.0,0.0,Intel,Core i7 8650U,1.9,Intel,UHD Graphics 620,Full HD,1920,1080
29,HP,Notebook,17.3,8,Windows 10,2.5,896.0,0.0,1024.0,0.0,0.0,Intel,Core i5 8250U,1.6,Nvidia,GeForce 930MX,Full HD,1920,1080
30,Chuwi,Notebook,15.6,4,Windows 10,1.89,244.99,0.0,0.0,64.0,0.0,Intel,Atom x5-Z8300,1.44,Intel,HD Graphics,Full HD,1920,1080
31,Asus,Notebook,14.0,2,Windows 10,1.65,199.0,0.0,0.0,32.0,0.0,AMD,E-Series E2-6110,1.5,AMD,Radeon R2,Unknown,1366,768
32,HP,Notebook,17.3,4,Windows 10,2.71,439.0,0.0,500.0,0.0,0.0,AMD,A6-Series 9220,2.5,AMD,Radeon 530,Full HD,1920,1080
33,Dell,Ultrabook,13.3,16,Windows 10,1.2,1869.0,512.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,Touchscreen / Quad HD+,3200,1800
34,Apple,Ultrabook,13.3,8,Mac OS X,1.35,998.0,0.0,0.0,256.0,0.0,Intel,Core i5,1.6,Intel,HD Graphics 6000,Unknown,1440,900
35,Lenovo,Notebook,14.0,4,Windows 10,1.44,249.0,0.0,0.0,64.0,0.0,Intel,Celeron Dual Core N3350,1.1,Intel,HD Graphics 500,Unknown,1366,768
36,Acer,Notebook,15.6,4,Linux,2.1,367.0,0.0,1024.0,0.0,0.0,Intel,Core i3 7130U,2.7,Intel,HD Graphics 620,Unknown,1366,768
37,Dell,Notebook,17.3,8,Windows 10,2.8,979.0,128.0,1024.0,0.0,0.0,Intel,Core i5 8250U,1.6,AMD,Radeon 530,IPS Panel Full HD,1920,1080
38,HP,Notebook,15.6,4,Windows 10,1.86,488.69,0.0,1024.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Unknown,1366,768
39,HP,Notebook,15.6,8,Windows 10,2.1,879.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Nvidia,GeForce 930MX ,Full HD,1920,1080
40,Asus,Notebook,15.6,4,Linux,2.0,389.0,0.0,1024.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 620,Full HD,1920,1080
41,Dell,Gaming,15.6,16,Windows 10,2.65,1499.0,256.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,IPS Panel Full HD,1920,1080
42,Asus,Notebook,15.6,8,Linux,2.3,522.99,0.0,1024.0,0.0,0.0,Intel,Core i5 7200U,2.5,Nvidia,GeForce 940MX,Unknown,1366,768
43,Acer,Notebook,15.6,4,Windows 10,2.2,682.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,IPS Panel Full HD,1920,1080
44,Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,999.0,0.0,1024.0,0.0,0.0,Intel,Core i5 8250U,1.6,Nvidia,GeForce 150MX,Full HD / Touchscreen,1920,1080
45,Apple,Ultrabook,13.3,8,macOS,1.37,1419.0,256.0,0.0,0.0,0.0,Intel,Core i5,2.0,Intel,Iris Graphics 540,IPS Panel Retina Display,2560,1600
46,Lenovo,Notebook,15.6,4,No OS,2.2,369.0,128.0,0.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Unknown,1366,768
47,Asus,Gaming,17.3,8,Windows 10,3.2,1299.0,256.0,1024.0,0.0,0.0,AMD,Ryzen 1700,3.0,AMD,Radeon RX 580,Full HD,1920,1080
48,Dell,Notebook,15.6,4,Windows 10,2.3,639.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,AMD,Radeon R5 M430,Full HD,1920,1080
49,Asus,Notebook,17.3,4,Windows 10,2.8,466.0,0.0,1024.0,0.0,0.0,Intel,Pentium Quad Core N4200,1.1,Nvidia,GeForce 920MX,Unknown,1366,768
50,Lenovo,2 in 1 Convertible,10.1,4,Android,0.69,319.0,0.0,0.0,64.0,0.0,Intel,Atom x5-Z8550,1.44,Intel,HD Graphics 400,IPS Panel Touchscreen,1920,1200
51,Acer,Notebook,15.6,8,Windows 10,2.2,841.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX150,IPS Panel Full HD,1920,1080
52,HP,Notebook,15.6,4,Windows 10,1.86,398.49,256.0,0.0,0.0,0.0,AMD,A6-Series 9220,2.5,AMD,Radeon R4 Graphics,Full HD,1920,1080
53,HP,Notebook,13.3,8,Windows 10,1.49,1103.0,512.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,Full HD,1920,1080
54,Acer,Notebook,15.6,4,Windows 10,2.4,384.0,0.0,1024.0,0.0,0.0,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,Unknown,1366,768
55,Dell,Notebook,15.6,8,Windows 10,2.13,767.8,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,AMD,Radeon 520,Full HD,1920,1080
56,HP,Notebook,15.6,4,Windows 10,1.91,439.0,128.0,0.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Full HD,1920,1080
57,Asus,Notebook,15.6,4,Windows 10,2.0,586.19,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Unknown,1366,768
58,MSI,Gaming,17.3,16,Windows 10,2.43,2449.0,256.0,2048.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1070,Full HD,1920,1080
59,Asus,Notebook,15.6,4,Linux,2.0,415.0,256.0,0.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Full HD,1920,1080
60,Dell,Notebook,17.3,16,Windows 10,2.8,1299.0,256.0,2048.0,0.0,0.0,Intel,Core i7 8550U,1.8,AMD,Radeon 530,Full HD,1920,1080
61,Dell,Ultrabook,14.0,8,Windows 10,1.7,879.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,Full HD,1920,1080
62,Lenovo,Notebook,14.0,8,No OS,1.7,599.0,256.0,0.0,0.0,0.0,Intel,Core i3 7130U,2.7,Intel,HD Graphics 620,IPS Panel Full HD,1920,1080
63,Asus,Notebook,14.0,8,Windows 10,1.4,941.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,Full HD,1920,1080
64,HP,Notebook,15.6,8,Windows 10,1.86,690.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Full HD,1920,1080
65,Asus,Ultrabook,15.6,16,Windows 10,1.8,1983.0,512.0,0.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,Full HD,1920,1080
66,HP,Notebook,15.6,4,Windows 10,1.86,438.69,0.0,500.0,0.0,0.0,Intel,Core i3 6006U,2.0,AMD,Radeon 520,Unknown,1366,768
67,HP,Notebook,14.0,4,Windows 10,1.44,229.0,32.0,0.0,0.0,0.0,Intel,Celeron Dual Core N3060,1.6,Intel,HD Graphics 400,Unknown,1366,768
68,Lenovo,Notebook,15.6,4,Windows 10,1.9,549.0,0.0,1024.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Full HD,1920,1080
69,Asus,Gaming,17.3,12,Linux,3.0,949.0,0.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,Full HD,1920,1080
70,Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,1089.0,128.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Touchscreen,2256,1504
71,Dell,Ultrabook,13.3,8,Windows 10,1.4,955.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,AMD,Radeon 530,IPS Panel Full HD,1920,1080
72,Dell,Notebook,15.6,8,Windows 10,2.2,870.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,AMD,Radeon 530,Full HD,1920,1080
73,MSI,Gaming,17.3,8,Windows 10,2.7,1095.0,128.0,1024.0,0.0,0.0,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,Full HD,1920,1080
74,Acer,Notebook,14.0,8,Windows 10,2.1,389.0,0.0,1024.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Unknown,1366,768
75,Asus,Gaming,15.6,8,Windows 10,2.2,949.0,0.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,Full HD,1920,1080
76,Lenovo,Notebook,15.6,8,No OS,2.2,519.0,0.0,2048.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Full HD,1920,1080
77,Dell,Notebook,15.6,8,Windows 10,2.02,855.0,128.0,1024.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,Full HD,1920,1080
78,Acer,Notebook,15.6,4,Windows 10,2.2,530.0,0.0,1024.0,0.0,0.0,Intel,Core i3 7130U,2.7,Nvidia,GeForce MX130,Full HD,1920,1080
79,HP,Notebook,17.3,8,Windows 10,2.5,977.0,128.0,1024.0,0.0,0.0,Intel,Core i5 8250U,1.6,Nvidia,GeForce 930MX,Full HD,1920,1080
80,Dell,Ultrabook,15.6,8,Windows 10,1.88,1096.16,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,IPS Panel Full HD,1920,1080
81,Apple,Ultrabook,12.0,8,macOS,0.92,1510.0,512.0,0.0,0.0,0.0,Intel,Core i5,1.3,Intel,HD Graphics 615,IPS Panel Retina Display,2304,1440
82,HP,Notebook,14.0,8,Windows 10,1.63,860.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,HD Graphics 620,Full HD,1920,1080
83,Lenovo,Notebook,15.6,4,Windows 10,2.2,399.0,128.0,0.0,0.0,0.0,AMD,A6-Series 9220,2.5,AMD,R4 Graphics,Full HD,1920,1080
84,Acer,Notebook,15.6,4,Windows 10,2.1,395.0,0.0,1024.0,0.0,0.0,AMD,A9-Series 9420,3.0,AMD,Radeon R5,Unknown,1366,768
85,Dell,Gaming,15.6,16,Windows 10,2.65,1349.0,128.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,IPS Panel Full HD,1920,1080
86,HP,Ultrabook,15.6,8,Windows 10,1.83,699.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce GTX 940MX,IPS Panel Full HD,1920,1080
87,HP,Notebook,15.6,8,Windows 10,1.96,598.99,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Full HD,1920,1080
88,Asus,Gaming,15.6,16,Windows 10,2.2,1449.0,128.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,IPS Panel Full HD,1920,1080
89,Dell,Ultrabook,13.3,8,Windows 10,1.21,1649.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,IPS Panel Full HD,1920,1080
90,Asus,Gaming,15.6,8,Windows 10,2.45,699.0,0.0,1024.0,0.0,0.0,AMD,FX 9830P,3.0,AMD,Radeon RX 560,Full HD,1920,1080
91,Acer,Notebook,15.6,8,Windows 10,2.2,689.0,0.0,1024.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX150,Full HD,1920,1080
92,HP,Notebook,13.3,16,Windows 10,1.49,1197.0,512.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,Full HD,1920,1080
93,Dell,Gaming,15.6,8,Windows 10,2.65,1195.0,256.0,0.0,0.0,0.0,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1060,Full HD,1920,1080
94,Asus,Ultrabook,14.0,8,Windows 10,1.25,1049.0,256.0,0.0,0.0,0.0,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,Full HD,1920,1080
95,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,847.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,IPS Panel Full HD / Touchscreen,1920,1080
96,Dell,Notebook,15.6,8,Linux,2.2,599.9,0.0,1024.0,0.0,0.0,Intel,Core i7 7500U,2.7,AMD,Radeon R5 M430,Full HD,1920,1080
97,Dell,Notebook,15.6,4,Linux,2.2,485.0,256.0,0.0,0.0,0.0,Intel,Core i3 6006U,2.0,AMD,Radeon R5 M430,Full HD,1920,1080
98,Asus,Notebook,15.6,6,Windows 10,2.0,577.0,256.0,0.0,0.0,0.0,Intel,Core i3 7100U,2.4,Nvidia,GeForce 920M,Full HD,1920,1080
99,HP,Gaming,15.6,12,Windows 10,2.62,1249.0,128.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,IPS Panel Full HD,1920,1080
100,HP,Notebook,15.6,8,Windows 10,1.91,719.0,256.0,0.0,0.0,0.0,Intel,Core i7 7500U,2.7,AMD,Radeon 530,Full HD,1920,1080
101,HP,Notebook,15.6,4,Windows 10,2.1,349.0,0.0,500.0,0.0,0.0,AMD,E-Series E2-9000e,1.5,AMD,Radeon R2,Full HD,1920,1080
102,Dell,Notebook,15.6,8,Linux,2.2,647.0,0.0,1024.0,0.0,0.0,Intel,Core i5 8250U,1.6,AMD,Radeon 520,Full HD,1920,1080
103,HP,Ultrabook,13.3,8,Windows 10,1.38,1119.0,256.0,0.0,0.0,0.0,Intel,Core i7 7500U,2.7,Nvidia,GeForce MX150,IPS Panel Full HD,1920,1080
104,Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,1340.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Touchscreen,2256,1504
105,HP,Notebook,14.0,6,Windows 10,1.58,659.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Nvidia,GeForce 940MX,IPS Panel Full HD,1920,1080
106,Lenovo,Notebook,15.6,4,Windows 10,1.85,414.9,0.0,1024.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Full HD,1920,1080
107,Asus,Ultrabook,14.0,8,Windows 10,1.3,1193.0,256.0,0.0,0.0,0.0,Intel,Core i7 7500U,2.7,Nvidia,GeForce 940MX,IPS Panel Full HD,1920,1080
108,MSI,Gaming,15.6,16,Windows 10,2.2,1299.0,256.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,Full HD,1920,1080
109,Lenovo,Notebook,14.0,8,Windows 10,1.58,1480.0,256.0,0.0,0.0,0.0,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,IPS Panel Full HD,1920,1080
110,Asus,Ultrabook,15.6,16,Windows 10,1.5,1262.0,256.0,1024.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX150,Full HD,1920,1080
111,Dell,Ultrabook,13.3,8,Windows 10,1.23,1379.0,256.0,0.0,0.0,0.0,Intel,Core i7 7560U,2.4,Intel,Iris Plus Graphics 640,Quad HD+ / Touchscreen,3200,1800
112,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,1399.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,IPS Panel Full HD / Touchscreen,1920,1080
113,HP,Notebook,14.0,4,Windows 10,1.63,722.0,0.0,500.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,IPS Panel,1366,768
114,Dell,Ultrabook,13.3,8,Windows 10,1.21,1629.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,IPS Panel Full HD,1920,1080
115,HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,1398.99,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,IPS Panel Full HD / Touchscreen,1920,1080
116,HP,Notebook,14.0,8,Windows 10,1.63,1084.0,512.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,Full HD,1920,1080
117,Dell,Notebook,15.6,8,Windows 10,2.16,1130.33,256.0,1024.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce 940MX,IPS Panel Full HD,1920,1080
118,Asus,Notebook,17.3,4,Windows 10,2.0,564.0,0.0,1024.0,0.0,0.0,Intel,Core i3 6006U,2.0,Nvidia,GeForce 920MX,Full HD,1920,1080
119,Asus,Notebook,15.6,8,Windows 10,1.7,1118.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce 940MX,Full HD,1920,1080
120,Acer,Notebook,15.6,6,Windows 10,2.1,479.0,0.0,1024.0,0.0,0.0,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,IPS Panel Full HD / Touchscreen,1920,1080
121,MSI,Gaming,15.6,16,Windows 10,1.8,2241.5,256.0,2048.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1070,Full HD,1920,1080
122,Lenovo,Notebook,15.6,8,No OS,2.2,629.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Nvidia,GeForce 940MX,Full HD,1920,1080
123,HP,Notebook,17.3,16,Windows 10,2.5,1271.0,512.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce 930MX ,Full HD,1920,1080
124,Acer,Notebook,15.6,4,Windows 10,2.1,451.0,256.0,0.0,0.0,0.0,AMD,A9-Series 9420,3.0,AMD,Radeon R5,Unknown,1366,768
125,HP,Notebook,15.6,4,No OS,1.86,259.0,0.0,500.0,0.0,0.0,Intel,Celeron Dual Core N3060,1.6,Intel,HD Graphics 400,Unknown,1366,768
126,HP,Notebook,14.0,8,Windows 10,1.63,812.0,0.0,1024.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,Full HD,1920,1080
127,Asus,Notebook,14.0,4,Windows 10 S,1.65,277.99,64.0,0.0,0.0,0.0,AMD,E-Series 6110,1.5,AMD,Radeon R2,Unknown,1366,768
128,Dell,Notebook,17.3,16,Windows 10,2.8,1396.0,256.0,2048.0,0.0,0.0,Intel,Core i7 8550U,1.8,AMD,Radeon 530,Full HD,1920,1080
129,HP,Notebook,17.3,8,Windows 10,2.5,928.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,Full HD,1920,1080
130,Dell,Notebook,15.6,8,Windows 10,2.36,638.99,0.0,1024.0,0.0,0.0,Intel,Core i5 7200U,2.5,AMD,Radeon R7 M445,Unknown,1366,768
131,Dell,Notebook,15.6,4,Windows 10,2.2,449.0,0.0,1024.0,0.0,0.0,Intel,Core i3 6006U,2.0,AMD,Radeon R5 M430,Full HD,1920,1080
132,Acer,Ultrabook,14.0,8,Windows 10,1.6,884.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,IPS Panel Full HD,1920,1080
133,Acer,Notebook,15.6,4,Windows 10,2.2,572.0,256.0,0.0,0.0,0.0,Intel,Core i3 7130U,2.7,Nvidia,GeForce MX130,Full HD,1920,1080
134,HP,Notebook,15.6,8,Windows 10,2.05,598.0,0.0,1024.0,0.0,0.0,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,Unknown,1366,768
135,HP,Notebook,14.0,8,Windows 10,1.63,988.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,Full HD,1920,1080
136,Lenovo,Notebook,15.6,4,No OS,1.9,252.36,0.0,1024.0,0.0,0.0,Intel,Celeron Dual Core N3350,1.1,Intel,HD Graphics 500,Unknown,1366,768
137,Asus,Gaming,17.3,8,Windows 10,3.0,938.0,128.0,1024.0,0.0,0.0,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,Full HD,1920,1080
138,Lenovo,Notebook,15.6,4,No OS,2.2,499.0,0.0,1024.0,0.0,0.0,Intel,Core i5 7200U,2.5,Nvidia,GeForce 920MX,Full HD,1920,1080
139,HP,Notebook,13.3,4,Windows 10,1.32,699.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,IPS Panel Full HD,1920,1080
140,Acer,Notebook,17.3,4,Windows 10,3.0,655.0,0.0,1024.0,0.0,0.0,Intel,Core i3 7130U,2.7,Nvidia,GeForce MX130,IPS Panel Full HD,1920,1080
141,Lenovo,Notebook,14.0,8,Windows 10,1.75,1116.02,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,AMD,Radeon RX 550,IPS Panel Full HD,1920,1080
142,Lenovo,Gaming,15.6,8,No OS,2.4,869.0,256.0,0.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050M,IPS Panel Full HD,1920,1080
143,Toshiba,Notebook,15.6,4,Windows 10,2.1,602.0,0.0,500.0,0.0,0.0,Intel,Core i5 6200U,2.3,Intel,HD Graphics 520,Unknown,1366,768
144,HP,Notebook,15.6,4,Windows 10,1.86,369.0,256.0,0.0,0.0,0.0,AMD,A6-Series 9220,2.5,AMD,Radeon R4 Graphics,Unknown,1366,768
145,Asus,Ultrabook,14.0,8,Windows 10,1.25,1099.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,Full HD,1920,1080
146,HP,Ultrabook,12.5,8,Windows 10,0.97,2014.0,512.0,0.0,0.0,0.0,Intel,Core M 6Y75,1.2,Intel,HD Graphics 515,IPS Panel 4K Ultra HD / Touchscreen,3840,2160
147,Asus,Notebook,15.6,4,Windows 10,2.0,344.0,0.0,1024.0,0.0,0.0,Intel,Celeron Dual Core N3350,1.1,Intel,HD Graphics 500,Full HD,1920,1080
